,slide,initialAOI,fixationTime,correctedAOI,Transition
497,9.bmp,3,0.31192,7,Invalid
498,9.bmp,6,0.21359,4,Surface
499,9.bmp,5,0.34494,8,Invalid
500,9.bmp,6,0.75678,4,Invalid
501,9.bmp,3,0.26126,7,Surface
502,9.bmp,2,0.19708,2,Invalid
503,9.bmp,6,0.37787,4,Invalid
504,9.bmp,3,0.4437,7,Surface
505,9.bmp,5,0.19696,8,Meaningful
506,9.bmp,7,0.42715,6,Meaningful
507,9.bmp,4,0.3125,5,Invalid
508,9.bmp,6,0.45978,4,Invalid
509,9.bmp,3,0.70639,7,Surface
510,9.bmp,5,0.57394,8,Meaningful
511,9.bmp,6,0.44372,4,Invalid
512,10.bmp,9,0.32843,3,Invalid
513,10.bmp,5,0.19669,1,Invalid
514,10.bmp,1,0.3949,7,Invalid
515,10.bmp,7,0.31244,6,Invalid
516,10.bmp,5,0.61099,1,Invalid
517,10.bmp,2,0.29529,2,Invalid
518,10.bmp,9,0.24561,3,Invalid
519,10.bmp,8,0.36145,5,Surface
520,10.bmp,7,0.29578,6,Surface
521,10.bmp,8,0.92117,5,Surface
522,10.bmp,9,0.22974,3,Surface
523,10.bmp,8,0.29575,5,Surface
524,10.bmp,5,0.21417,1,Invalid
525,10.bmp,1,0.345,7,Invalid
526,10.bmp,2,0.1972,2,Surface
527,10.bmp,1,0.23007,7,Surface
528,10.bmp,2,0.50919,2,Surface
529,10.bmp,1,0.39569,7,Surface
530,10.bmp,4,0.33044,4,Surface
531,10.bmp,5,0.24643,1,Invalid
532,10.bmp,2,0.04605,2,Invalid
533,10.bmp,1,0.2294,7,Surface
534,10.bmp,2,0.34521,2,Surface
535,10.bmp,6,0.47686,9,Invalid
536,10.bmp,8,0.2475,5,Invalid
537,10.bmp,7,0.22992,6,Surface
538,10.bmp,3,0.21313,8,Invalid
539,10.bmp,2,0.80548,2,Invalid
540,10.bmp,1,0.80566,7,Surface
541,10.bmp,4,0.67338,4,Surface
542,10.bmp,5,0.526,1,Invalid
543,10.bmp,6,0.80765,9,Surface
544,10.bmp,7,0.19711,6,Invalid
545,10.bmp,8,0.31201,5,Surface
546,10.bmp,9,0.24631,3,Surface
547,10.bmp,1,0.32858,7,Invalid
548,10.bmp,2,1.08484,2,Surface
549,10.bmp,3,0.55835,8,Invalid
550,10.bmp,1,0.21359,7,Meaningful
551,10.bmp,2,0.23126,2,Surface
552,10.bmp,3,0.80487,8,Invalid
553,10.bmp,6,0.49301,9,Surface
554,10.bmp,9,0.28152,3,Invalid
555,10.bmp,7,0.49289,6,Surface
556,10.bmp,6,0.21362,9,Invalid
