,slide,initialAOI,fixationTime,correctedAOI,Transition,Transition
350,10.bmp,5,0.4272,5,Invalid,Invalid
351,10.bmp,0,0.14157,0,Invalid,Invalid
352,10.bmp,6,1.3202,2,Invalid,Invalid
353,10.bmp,5,0.67318,5,Invalid,Invalid
354,10.bmp,7,0.31194,1,Invalid,Invalid
355,10.bmp,5,0.34557,5,Invalid,Invalid
356,10.bmp,1,0.27989,3,Surface,Surface
357,10.bmp,5,0.22835,5,Surface,Surface
358,10.bmp,10,0.29555,10,Invalid,Invalid
359,10.bmp,8,0.77078,4,Invalid,Invalid
360,10.bmp,5,0.31187,5,Invalid,Invalid
361,10.bmp,10,0.32837,10,Invalid,Invalid
362,10.bmp,0,0.78777,0,Invalid,Invalid
363,10.bmp,5,0.24657,5,Invalid,Invalid
364,10.bmp,6,0.22942,2,Invalid,Invalid
365,10.bmp,5,0.21503,5,Invalid,Invalid
366,10.bmp,2,0.52644,7,Meaningful,Meaningful
367,10.bmp,9,0.19746,6,Invalid,Invalid
368,10.bmp,8,0.21384,4,Invalid,Invalid
369,10.bmp,4,0.24678,9,Invalid,Invalid
370,10.bmp,6,0.19716,2,Invalid,Invalid
371,10.bmp,2,0.21346,7,Surface,Surface
372,10.bmp,1,0.34404,3,Invalid,Invalid
373,10.bmp,5,0.60702,5,Surface,Surface
374,10.bmp,6,0.23013,2,Invalid,Invalid
375,10.bmp,2,1.576,7,Surface,Surface
376,11.bmp,3,0.86952,3,Invalid,Invalid
377,11.bmp,5,0.47339,1,Invalid,Invalid
378,11.bmp,6,0.23056,6,Invalid,Invalid
379,11.bmp,5,0.46005,1,Invalid,Invalid
380,11.bmp,4,0.54156,8,Invalid,Invalid
381,11.bmp,8,0.39398,7,Invalid,Invalid
382,11.bmp,10,0.50935,10,Invalid,Invalid
383,11.bmp,7,0.25928,5,Invalid,Invalid
384,11.bmp,8,0.31264,7,Invalid,Invalid
385,11.bmp,0,0.49367,0,Invalid,Invalid
386,11.bmp,10,0.26295,10,Invalid,Invalid
